iter	Passed	Remaining
616	1292	802
617	1294	799
618	1297	798
619	1298	795
620	1300	793
621	1301	791
622	1303	788
623	1304	786
624	1306	783
625	1307	781
626	1310	779
627	1312	777
628	1313	774
629	1315	772
630	1316	770
631	1318	767
632	1320	765
633	1321	762
634	1323	760
635	1326	758
636	1327	756
637	1329	754
638	1330	751
639	1332	749
640	1334	747
641	1335	744
642	1337	742
643	1340	740
644	1341	738
645	1343	736
646	1344	733
647	1346	731
648	1347	728
649	1349	726
650	1350	724
651	1352	721
652	1355	720
653	1357	718
654	1358	715
655	1360	713
656	1362	711
657	1363	708
658	1365	706
659	1366	704
660	1369	702
661	1371	700
662	1372	697
663	1374	695
664	1375	693
665	1377	690
666	1379	688
667	1380	686
668	1382	683
669	1384	681
670	1385	679
671	1387	677
672	1389	674
673	1391	672
674	1392	670
675	1394	668
676	1395	665
677	1399	664
678	1400	662
679	1402	659
680	1403	657
681	1405	655
682	1407	653
683	1408	650
684	1409	648
685	1412	646
686	1413	644
687	1415	641
688	1416	639
689	1418	637
690	1419	634
691	1421	632
692	1423	630
693	1425	628
694	1427	626
695	1429	624
696	1430	621
697	1432	619
698	1433	617
699	1435	615
700	1436	612
701	1440	611
702	1442	609
703	1443	606
704	1445	604
705	1446	602
706	1447	600
707	1449	597
708	1450	595
709	1454	593
710	1455	591
711	1457	589
712	1458	587
713	1460	584
714	1461	582
715	1463	580
716	1464	578
717	1466	575
718	1469	574
719	1470	571
720	1472	569
721	1473	567
722	1475	565
723	1476	562
724	1478	560
725	1479	558
726	1481	556
727	1484	554
728	1486	552
729	1487	550
730	1489	548
731	1491	545
732	1492	543
733	1493	541
734	1495	539
735	1498	537
736	1500	535
737	1501	533
738	1502	530
739	1504	528
740	1505	526
741	1507	524
742	1508	521
743	1511	520
744	1513	518
745	1515	515
746	1516	513
747	1518	511
748	1520	509
749	1522	507
750	1523	505
751	1527	503
752	1529	501
753	1530	499
754	1532	497
755	1533	494
756	1535	492
757	1536	490
758	1538	488
759	1541	486
760	1542	484
761	1544	482
762	1545	480
763	1547	478
764	1548	475
765	1550	473
766	1551	471
767	1553	469
768	1556	467
769	1557	465
770	1559	463
771	1560	460
772	1562	458
773	1563	456
774	1565	454
775	1567	452
776	1570	450
777	1571	448
778	1573	446
779	1574	444
780	1576	441
781	1577	439
782	1579	437
783	1580	435
784	1582	433
785	1584	431
786	1586	429
787	1587	427
788	1589	425
789	1590	422
790	1592	420
791	1594	418
792	1595	416
793	1598	414
794	1600	412
795	1601	410
796	1603	408
797	1604	406
798	1606	404
799	1608	402
800	1609	399
801	1613	398
802	1614	396
803	1616	393
804	1617	391
805	1619	389
806	1620	387
807	1622	385
808	1623	383
809	1625	381
810	1628	379
811	1629	377
812	1631	375
813	1632	373
814	1634	370
815	1636	369
816	1638	366
817	1640	364
818	1642	363
819	1644	360
820	1645	358
821	1647	356
822	1649	354
823	1650	352
824	1651	350
825	1653	348
826	1657	346
827	1658	344
828	1660	342
829	1661	340
830	1663	338
831	1664	336
832	1666	334
833	1667	331
834	1670	330
835	1672	328
836	1674	326
837	1675	323
838	1677	321
839	1678	319
840	1680	317
841	1681	315
842	1683	313
843	1684	311
844	1686	309
845	1688	307
846	1689	305
847	1691	303
848	1692	301
849	1694	298
850	1695	296
851	1698	295
852	1700	293
853	1701	290
854	1703	288
855	1705	286
856	1706	284
857	1708	282
858	1709	280
859	1712	278
860	1714	276
861	1715	274
862	1717	272
863	1718	270
864	1720	268
865	1721	266
866	1723	264
867	1724	262
868	1728	260
869	1729	258
870	1731	256
871	1732	254
872	1734	252
873	1736	250
874	1737	248
875	1739	246
876	1742	244
877	1743	242
878	1745	240
879	1746	238
880	1748	236
881	1749	234
882	1751	232
883	1752	230
884	1756	228
885	1758	226
886	1760	224
887	1761	222
888	1763	220
889	1764	218
890	1766	216
891	1767	214
892	1770	212
893	1772	210
894	1773	208
895	1775	206
896	1776	204
897	1778	201
898	1779	199
899	1781	197
900	1783	195
901	1786	194
902	1788	192
903	1789	190
904	1791	188
905	1792	186
906	1794	183
907	1795	181
908	1797	179
909	1800	178
910	1802	176
911	1803	174
912	1805	172
913	1806	170
914	1808	167
915	1810	165
916	1811	163
917	1814	162
918	1815	160
919	1817	158
920	1818	156
921	1820	154
922	1821	151
923	1823	149
924	1824	147
925	1826	145
926	1829	144
927	1831	142
928	1832	140
929	1834	138
930	1835	136
931	1837	134
932	1838	132
933	1840	130
934	1843	128
935	1844	126
936	1846	124
937	1847	122
938	1849	120
939	1850	118
940	1852	116
941	1853	114
942	1855	112
943	1858	110
944	1859	108
945	1861	106
946	1863	104
947	1864	102
948	1866	100
949	1867	98
950	1869	96
951	1873	94
952	1874	92
953	1876	90
954	1878	88
955	1880	86
956	1881	84
957	1883	82
958	1884	80
959	1887	78
960	1888	76
961	1890	74
962	1892	72
963	1893	70
964	1895	68
965	1896	66
966	1898	64
967	1901	62
968	1903	60
969	1904	58
970	1906	56
971	1907	54
972	1909	52
973	1910	51
974	1912	49
975	1915	47
976	1917	45
977	1919	43
978	1920	41
979	1922	39
980	1923	37
981	1925	35
982	1926	33
983	1929	31
984	1931	29
985	1932	27
986	1934	25
987	1935	23
988	1937	21
989	1938	19
990	1940	17
991	1941	15
992	1944	13
993	1946	11
994	1947	9
995	1949	7
996	1951	5
997	1952	3
998	1954	1
999	1955	0
